state/州,district/地区,market,commodity_name/名字,min_price,max_price,date,类别+10
1,2,23,13,54.9,55.3,527,10
1,3,3,22,35,48.85,525,10
1,4,21,27,6,23.05,525,10
1,4,31,13,54.25,56.6,527,10
1,4,31,13,54.85,55.6,527,10
1,4,31,13,55,56.5,527,10
1,3,26,22,36,47.5,529,10
4,9,16,22,35.99,58.99,529,12
3,6,13,22,40.2,52.3,529,10
1,3,3,15,50,63,529,9
1,3,3,17,55,65.25,529,9
4,9,9,30,18.29,27.55,528,9
1,4,12,29,88.25,110,529,10
4,8,20,25,36,40,530,10
4,8,20,8,80,86,528,10
1,1,1,13,45,53.75,529,12
1,2,10,13,52.5,54.55,529,10
1,4,31,13,53.5,55.2,529,10
1,4,31,13,53.5,54.4,529,9
1,4,31,13,54,55.2,529,12
1,1,1,22,30,48.6,530,8
2,5,5,22,30,49.2,528,9
3,6,13,22,40.01,51.51,528,9
1,4,21,27,9,20,527,11
4,8,20,8,100,120,529,9
2,5,5,3,45.5,118,613,10
1,1,1,15,50,67,529,10
2,5,5,15,48.01,85.75,529,10
3,6,14,15,48,67.02,529,9
1,1,1,17,49.35,65.75,529,10
4,8,20,11,16,20,610,9
1,1,22,12,25,35,611,10
1,1,22,12,25,34,610,10
1,3,3,22,37.5,49.5,529,10
1,1,19,22,37.5,52.5,529,10
1,1,1,19,99.5,160,529,10
1,2,10,19,130.05,157,529,10
1,2,23,13,53.25,53.75,610,10
1,1,1,13,44,51.85,610,9
1,4,24,13,53,53.45,610,10
1,2,25,13,53,53.51,610,10
1,2,25,13,52.5,53.1,610,10
1,2,10,13,52.5,53.8,610,10
1,3,3,13,47.5,52.05,610,10
1,4,11,13,53,53.55,610,8
1,4,4,13,53,53.75,610,9
1,1,19,13,50.65,50.65,610,10
1,2,29,13,53.1,53.95,610,9
1,2,29,13,53,53.3,610,8
1,4,30,13,53.25,53.55,610,10
1,4,31,13,53,54.35,610,9
1,4,31,13,53.5,53.9,610,9
1,4,31,13,52.5,54.25,610,10
4,8,8,4,76,96,528,10
1,1,28,17,60.5,66,529,10
2,5,5,21,21,99.76,529,10
1,2,35,13,52.25,52.85,611,10
3,6,14,21,14,67.1,529,10
4,8,8,5,48,54,528,10
